label,text
1,"アップル 信者 の ため ずっと アップル TV を 使用 して い ました が 、 u-next や アマゾン ビデオ が 未 対応 だった ため 、 安価だった こと も あり この 商品 を 購入 して み ました 。  比較  アップル TV が FIRE より 優れて る ポイント  アップル ミュージック （ 月額 980 円 ） 、 ホーム シェアリング （ 要 PC 起動 ） 、 iPhone から ワン タッチ ミラーリング 、 itunes  FIRE  TV が アップル TV より 優れて いる ポイント  価格 約 三分の一 、 アマゾン ビデオ の 快適な 操作 や 視聴 、 プライム ミュージック の お 得 感 、 アプリ の 豊富な 量 、 ミラーリング も ２ タッチ で 可能  結論  プライム 会員 の 場合 は 絶対 に アップル TV より FIRE の 方 が その 機能 、 サービス に 満喫 できる ので は ない か と 。
"
1,"スマホ に 専用 アプリ を 入れる と 音声 認識 リモコン と して 使用 でき ます 。  音声 認識 有り 無し で 本体 の 性能 に 変わり は ない ので スマホ が あれば 音声 認識 リモコン なし で 問題 ない です 。
"
1,"電話 を 光 に 換えた 為 、 モデム が 無線 LAN  に なり ました ので 、 とても 便利に なり 、 インターネット も 、 何処 でも 使え 、 この Fire  TV  も 簡単に 認識 して くれ ました 。  それ から 音楽 も パソコン の アルバム が 自動 的に TV  に 入って 呉れて びっくり です 、 こんな 便利な もの と は 知り ませ ん でした 。  ８０ 歳 の 私 でも 簡単に 接続 出来る なんて 思って い なかった ので 本当に びっくり して い ます 。
"
1,"Amazon の 商品 らしく 、 パッケージ や 商品 の 素材 に 無駄 が なく 、 コスト パフォーマンス が 高い です 。 注意 点 と いう か 、 驚いた の が Fire  TV  Stick を TV に さして ログイン 操作 など 一切 して い ない のに 、 私 の Amazon アカウント で ログイン さ れて おり 「 こんにちは 、 〇〇 さん 」 が 表示 さ れて い ます 。 出荷 前 に 個別 設定 さ れて いる のでしょう ねー 確かに Amazon で 買った わけです から 可能な こと でしょう し 、 設定 し なくて いい の は 便利です が 、 いきなり は 困惑 し ます ね 。 知ら ず に 未 開封 の まま だれ か に あげたり 、 盗難 に 合う と 危険です ね 。 Amazon プライム ・ ビデオ に ちゃんと 対応 して いる の は Fire  TV  Stick と Amazon  Fire  TV だけ な ので 、 Amazon プライム 会員 は 持って た ほう が いい と 思い ます 。
"
1,"これ は 優れ もの です 。  Wi-Fi 環境 でも 途切れる こと なく 、 動画 や 音楽 の 再生 が でき ます 。  映画 も 画像 が とても 綺麗で 満足です 。  プライム 会員 は 持って い ない と 損です よ ！
"
1,"購入 後 設定 が スムースに できる か と 思った が （ ８２ 歳 ] 簡単に 、 接続 でき 購入 して 満足です 、 楽しみ が 増え ました 。 笑
"
1,"使い 易い です 。  見 たい 番組 も ほとんど 無料 で 見 られる し 我が家 は すっかり amazon ビデオ 一家 に なり ました 。  エッチな の を 薦め なれる こと も 一 度 も あり ませ ん （笑）
"
1,"アダルト 機能 制限 が でき ない と 、 レビュー を みて 心配 し ました が  機能 制限 でき ました 。  YouTube も  変な 画像 は 出て き ませ ん 。  なかなか 使い 勝手 が 良くて  音声 認識 リモコン に し ました が  iPhone を お 持ち の 方 なら 、 アプリ が 使える ので  普通の タイプ でも よい と 思い ます 。
"
1,"思った 以上 に 使う 。 テレビ は そんなに 見 ない か な と 思って いた けど 、 思った より 魅力 的な コンテンツ が 多い し 、 これ から も 増えて いき そう 。 動画 も 途中 で 切れたり 、 カクカク する こと も なく 、 見やすい です 。 これ で ５０００ 円 弱 は 安い 。 これ なら プライム 会員 に なって いて も いい と 思う 。
"
1,"本体 は とても コンパクト で Microsoft の ワイヤレス ディスプレイ アダプター に 近い サイズ です 。  HDMI 端子 に 接続 し にくい 場合 の アダプター が 付属 して おり 、 HDMI ケーブル を 繋げて 延長 さ せて 接続 する こと も でき ます 。  本体 の 側面 に USB 端子 が 備わって おり 、 ここ から 給電 し ます 。 出力 の 関係 で 付属 の ケーブル と アダプター 以外 は 使用 し ない ように と の 注意 点 が 書か れて い ました が 、 タブレット など が 充電 出来る もの であれば 問題 無い と 思い ます 。  他 社 の USB-AC アダプター で 普通に 動作 を 確認 でき ました 。  数 分 放置 して おく と スクリーンセーバー が 起動 し 、 その後 （ 30 分 くらい で ） スリープ に 移行 する ようです 。  スクリーンセーバー は Amazon の コレクション が とても 綺麗で これ だけ 流して い たく も なり ます 。  セットアップ は 画面 に 表示 さ れる ウィザード に 従って スムーズに 行え ます 。  また 、 動画 に よる チュートリアル など も ある ので 使い 方 など で 困る こと は 少ない と 感じ ました 。  既に Amazon の アカウント が あれば そのまま 購入 した 映画 など が リスト に 上がって い ます 。  初期 の 空き 容量 は 4.5GB ほど でした 。  付属 の リモコン は 音声 認識 を 備えた タイプ で 、 認識 率 が かなり 良い です 。  乾電池 式 で パッケージ に 付属 して い ます ので すぐ に 使う 事 が でき ます 。  家族 で それぞれ 音声 で 検索 して み ました が 、 とても 良い 結果 と なり ました 。  人気 の 作品 や 新作 以外 の マイナーな 映画 でも 音声 で すぐ に たどり着く こと が でき ます 。  ワン ボタン で 音声 認識 が 立ち 上がる ので 小学生 の 子ども でも 簡単に 扱え ます 。  また 、 どの 状態 から も ホーム ボタン で ホーム 画面 に 戻れる 点 も 分かり やすくて 良い と 思い ます 。  パック マン くらい なら 先 押し を 心がけて おけば 意外 と 快適に プレー できたり し ます 。  動画 の 視聴 です が 、 無線 LAN でも HD 画像 を 十分に 楽しめ ました 。  今 まで は スティック PC 上 で 再生 して おり 、 画質 の 低下 や 再生 停止 など が 起こる こと が あり ました が 、 こちら の 製品 で は とても 快適に 視聴 する こと が でき ました 。  操作 性 も 非常に 良く 、 家電 より の 使い 勝手な ので 家族 みんな で 楽しむ こと が できる でしょう 。
"
1,"期待 した 通り の 画質 、 音質 で 楽しま せて もらって ます 。 プライム 会員 は 殆ど の 動画 が 追加 料金 無 しなの が 特に 素晴らしい 。
"
1,"機械 系 は 不得意な のです が 、 問題 なく 接続 でき ました 。  テレビ の 大きな 画面 で 映画 や ドラマ を 見 たい と 思い 購入 し ました が 、 メイク 中 や 寝る 前 など に 音楽 の プレイ リスト を 流す の が マイ ブーム です 。  テレビ の 電源 を 消す と 、 自動 的に 一 時 停止 に なる の が ありがたい です ！
"
1,"DVD レンタル ショップ に いく 回数 も 減り 、 とても 重宝 して ます 。 stick が ストレートな ため 、 テレビ と 壁 に 多少 の 隙間 が ない と 、 取り外し が 大変です 。 stick が L 時 型 に 曲がって いれば 隙間 が なくて も  取り外し が 楽で 良い と 思い ま が 、 とても コンパクト で 持ち 運び も 楽で 五 つ 星 です 。
"
1,"ハードウェア 的な 改善 要望 を ただ 一 つ  スティック の 電源 ケーブル は HDMI の 挿入 方向 に 向かって 側面 で は なく  HDMI コネクタ の 対極 に して ください ！  あるいは どちら も 選べる ように ！  他の HDMI ケーブル と の 共存 の 為 です
"
1,"ヌルヌル 動く 。 映画 や ドラマ が 大きな 画面 で 気軽に 見 れる 。 家 で ゆっくり し たい とき に は 大変 ありがたい 。 値引き 中 に 買った の は 本当に 正解 であった 。 もはや テレビ 番組 は 見 なく なる 。
"
1,"会員 に 付加 価値 を 付ける 取り組み は 素晴らしい 事 だ と 思い ます 。  今後 も コンテンツ の 内容 が 充実 して 行く 事 を 願って ます 。  今後 の アマゾン に 期待 大 です ！  （ 追記 ）  使用 から １ ヶ月 が 経過 し ました が 特に 問題 も 無く 使用 出来て ます 。  機械 物 な ので 当たり 外れ が ある でしょう が 、 私 の は 何の 問題 も 無く 正常に 機能 して い ます 。  出来たら ＰＣ の 様 に 使用 し ない 時 は 電源 を 落として おく の が 長持ち さ せる カギ に なる と 思い ます 。  私 は 延長 コード に 電源 スイッチ が ある タイプ を 使用 し 、 スイッチ を 切る だけ で 簡単に 電源 が 落とせる 様 に して い ます 。  これ 楽だ と 思い ます よ 。  もっと 映画 や 海外 ドラマ の 種類 が 増える と いい です ねぇ ～♪（ 勿論 、 無料 で ね ！ ）
"
1,"見 たい ビデオ が たくさん あり すぎ です 。 子供 も 鬼 太郎 など を これ で 楽しく みて い ます 。 （ なに これ ～ って かんじ で ）  ただ 、 トップ ページ に 子供 に は よろしく ない タイトル 画像 が 表示 さ れて しまう の は 、 改善 して くれる と ありがたい です 。
"
1,"hulu と アマゾン プライム で 子供 達 の 動画 用 に 。  動作 も 概ね 軽快で 、 hulu は これ まで PS3 から テレビ 視聴 して い ました が これ で 簡単に なり ました 。  YouTube も 大 画面 で 見る と 案外 綺麗です ね 。
"
